[2026-01-19--10-56-04 INFO actix_server::builder] starting 5 workers
[2026-01-19--10-56-04 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-01-19--10-56-04 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-01-19--10-56-04 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-01-19--10-56-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35548.
[2026-01-19--10-56-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35550.
[2026-01-19--10-56-05 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.002363
[2026-01-19--10-56-05 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/gql/console" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36" 0.000097
[2026-01-19--10-56-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33524.
[2026-01-19--10-59-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43366.
[2026-01-19--11-00-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45552.
[2026-01-19--11-00-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45556.
[2026-01-19--11-01-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57722.
[2026-01-19--11-01-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57730.
[2026-01-19--11-01-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58542.
[2026-01-19--11-01-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58558.
[2026-01-19--11-05-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35372.
[2026-01-19--11-06-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53896.
[2026-01-19--11-06-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53904.
[2026-01-19--11-06-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53920.
[2026-01-19--11-06-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49424.
[2026-01-19--11-07-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51654.
[2026-01-19--11-07-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51666.
[2026-01-19--11-10-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54278.
[2026-01-19--11-12-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37188.
[2026-01-19--11-12-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37192.
[2026-01-19--11-12-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37208.
[2026-01-19--11-12-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37218.
[2026-01-19--11-12-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59930.
[2026-01-19--11-12-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43784.
[2026-01-19--11-13-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58314.
[2026-01-19--11-13-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42546.
[2026-01-19--11-13-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42080.
[2026-01-19--11-13-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42094.
[2026-01-19--11-13-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42096.
[2026-01-19--11-14-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53346.
[2026-01-19--11-14-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48878.
[2026-01-19--11-14-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48894.
[2026-01-19--11-14-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55562.
[2026-01-19--11-14-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33172.
[2026-01-19--11-14-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56464.
[2026-01-19--11-15-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35452.
[2026-01-19--11-15-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47152.
[2026-01-19--11-15-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36144.
[2026-01-19--11-15-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58570.
[2026-01-19--11-16-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48816.
[2026-01-19--11-16-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:34680.
[2026-01-19--11-16-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57740.
[2026-01-19--11-16-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57750.
[2026-01-19--11-17-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38034.
[2026-01-19--11-17-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51044.
[2026-01-19--11-17-55 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52410.
[2026-01-19--11-18-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39308.
[2026-01-19--11-18-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44362.
[2026-01-19--11-18-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44370.
[2026-01-19--11-18-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57668.
[2026-01-19--11-18-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40746.
[2026-01-19--11-19-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44036.
[2026-01-19--11-19-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50694.
