[2026-01-15--19-12-25 INFO actix_server::builder] starting 5 workers
[2026-01-15--19-12-25 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-01-15--19-12-25 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-01-15--19-12-25 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-01-15--19-12-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46206.
[2026-01-15--19-12-26 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 167 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 0.000229
[2026-01-15--19-21-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51270.
[2026-01-15--19-23-55 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51264.
[2026-01-15--19-27-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41450.
[2026-01-15--19-30-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60748.
[2026-01-15--19-31-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38000.
[2026-01-15--19-32-06 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37328.
[2026-01-15--19-32-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37336.
[2026-01-15--19-32-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37350.
[2026-01-15--19-32-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37360.
[2026-01-15--19-35-35 INFO actix_web::middleware::logger] 127.0.0.1 "GET /accounts.txt?_rsc=3lb4g HTTP/1.1" 200 1599 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 0.029933
[2026-01-15--19-35-35 INFO actix_web::middleware::logger] 127.0.0.1 "GET /scenarios.txt?_rsc=3lb4g HTTP/1.1" 200 1602 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 0.032206
[2026-01-15--19-35-37 INFO actix_web::middleware::logger] 127.0.0.1 "GET / HTTP/1.1" 200 7612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 0.001176
[2026-01-15--19-35-37 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/txtx.png HTTP/1.1" 200 4197 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 0.000168
[2026-01-15--19-35-37 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/css/0d143f211c7df892.css HTTP/1.1" 200 27323 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 0.002695
[2026-01-15--19-35-37 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/webpack-cd9d82e885c4ebdc.js HTTP/1.1" 200 4721 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 0.000665
[2026-01-15--19-35-37 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/main-app-f867690012ee20f6.js HTTP/1.1" 200 222 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 0.000463
[2026-01-15--19-35-37 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/04c1a432-edb03f65b9f1a1ca.js HTTP/1.1" 200 2700 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 0.000976
[2026-01-15--19-35-37 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/b18b83b3-e1c480e403eefb06.js HTTP/1.1" 200 55445 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 0.007758
[2026-01-15--19-35-37 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8370-021758b1cd213679.js HTTP/1.1" 200 88250 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 0.006249
[2026-01-15--19-35-37 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8298-3afc860dfe3c7887.js HTTP/1.1" 200 44395 "http://127.0.0.1:18488/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" 0.009398
